,Model Type,Number_of_PCA_Components,Accuracy,Precision,Recall,F1 Score
0,Neural network Classifier,1,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
1,Neural network Classifier,2,0.8859333333333334,0.8165577019527664,0.8859333333333334,0.8427957057894184
2,Neural network Classifier,3,0.8859,0.8165707641196013,0.8859,0.8427871624991096
3,Neural network Classifier,4,0.8859,0.8165164285106113,0.8859,0.8427633624486215
