,Model Type,Number_of_PCA_Components,Accuracy,Precision,Recall,F1 Score
0,XGBoost Classifier,1,0.885,0.81504805022517,0.885,0.8417687526564815
1,XGBoost Classifier,2,0.885,0.81504805022517,0.885,0.8417687526564815
2,XGBoost Classifier,3,0.8851,0.8153382746681828,0.8851,0.8419226521755739
3,XGBoost Classifier,4,0.8859,0.8165374323533469,0.8859,0.8427704962242217
