,Model Type,Number_of_PCA_Components,Accuracy,Precision,Recall,F1 Score
0,KNN Classifier,1,0.8688333333333333,0.8408523269793368,0.8688333333333333,0.8479257484641753
1,KNN Classifier,2,0.8686,0.8405212558011621,0.8686,0.8478561642034725
2,KNN Classifier,3,0.8689,0.8411478709839817,0.8689,0.8483930549624176
3,KNN Classifier,4,0.8688333333333333,0.8420984655430493,0.8688333333333333,0.8488914227000747
