,Model Type,Number_of_LDA_Components,n_estimators,Accuracy,Precision,Recall,F1 Score
0,Random Forest Classifier,1,10,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
1,Random Forest Classifier,1,20,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
2,Random Forest Classifier,1,30,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
3,Random Forest Classifier,1,40,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
4,Random Forest Classifier,1,50,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
5,Random Forest Classifier,2,10,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
6,Random Forest Classifier,2,20,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
7,Random Forest Classifier,2,30,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
8,Random Forest Classifier,2,40,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
9,Random Forest Classifier,2,50,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
10,Random Forest Classifier,3,10,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
11,Random Forest Classifier,3,20,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
12,Random Forest Classifier,3,30,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
13,Random Forest Classifier,3,40,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
14,Random Forest Classifier,3,50,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
