,Model Type,Number_of_LDA_Components,Accuracy,Precision,Recall,F1 Score
0,Decision Tree Classifier,1,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
1,Decision Tree Classifier,2,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
2,Decision Tree Classifier,3,0.8859333333333334,0.8165787094310806,0.8859333333333334,0.8428028399107185
