,Model Type,Number_of_LDA_Components,Accuracy,Precision,Recall,F1 Score
0,Neural network Classifier,1,0.07033333333333333,0.004946777777777778,0.07033333333333333,0.009243434028859129
1,Neural network Classifier,2,0.07033333333333333,0.004946777777777778,0.07033333333333333,0.009243434028859129
2,Neural network Classifier,3,0.07033333333333333,0.004946777777777778,0.07033333333333333,0.009243434028859129
